CLND_DT,LOC_ID,SALE_AMT
20-SEP-22,17,1829491.42
20-SEP-22,36,973774.24
20-SEP-22,32,1209914.12
20-SEP-22,30,2027636.43
20-SEP-22,10,2447709.3
20-SEP-22,39,2475804.9
20-SEP-22,41,0
20-SEP-22,13,2277749.67
20-SEP-22,12,4501865.71
20-SEP-22,6,1653709.57
20-SEP-22,34,2448494.83
20-SEP-22,16,4825875.67
20-SEP-22,18,177602.44
20-SEP-22,3,2272767.49
20-SEP-22,1,3598811.17
20-SEP-22,66,0
20-SEP-22,14,1116674.51
20-SEP-22,31,2240017.51
20-SEP-22,9,3048555.22
20-SEP-22,33,3053450.4
20-SEP-22,37,1599517.34
20-SEP-22,7,3128646.78
20-SEP-22,96,67027.29
20-SEP-22,2,3978655.08
