CLND_DT,LOC_ID,SALE_AMT
28-9月-22,96,66279.18
28-9月-22,12,3859917.25
28-9月-22,6,1552747.85
28-9月-22,7,2445438.77
28-9月-22,31,1776455.66
28-9月-22,32,1046750.62
28-9月-22,17,1632831.91
28-9月-22,30,1413808.05
28-9月-22,3,1931619.52
28-9月-22,16,3685497.94
28-9月-22,10,2023710.15
28-9月-22,34,2134477.18
28-9月-22,9,2178655.64
28-9月-22,37,1621304.43
28-9月-22,18,189507.23
28-9月-22,39,2703045.53
28-9月-22,33,2564166.72
28-9月-22,14,1035769.06
28-9月-22,2,3114351.24
28-9月-22,66,0
28-9月-22,36,1099373.81
28-9月-22,1,3256158.18
28-9月-22,13,1934479.54
28-9月-22,41,0
