CLND_DT,LOC_ID,SALE_AMT
03-10月-22,14,1385263.35
03-10月-22,12,4529647.3
03-10月-22,16,4260535.42
03-10月-22,96,68597.46
03-10月-22,32,1195277.89
03-10月-22,37,1915199.4
03-10月-22,9,2954586.31
03-10月-22,2,3851733.93
03-10月-22,41,0
03-10月-22,1,3402968.11
03-10月-22,13,2497624.61
03-10月-22,36,1090308.03
03-10月-22,30,1732078.07
03-10月-22,3,2058888.61
03-10月-22,31,2071671.04
03-10月-22,10,2596611.45
03-10月-22,34,2114486.4
03-10月-22,39,2532487.31
03-10月-22,7,3268670.94
03-10月-22,17,2060775.14
03-10月-22,66,0
03-10月-22,33,2913567.17
03-10月-22,6,1522137.65
03-10月-22,18,217579.77
