"2022-10-16 00:00:00","2","7602862.73"
"2022-10-16 00:00:00","9","3701085.53"
"2022-10-16 00:00:00","16","10131460.05"
"2022-10-16 00:00:00","31","3334408.96"
"2022-10-16 00:00:00","6","4773327.4"
"2022-10-16 00:00:00","14","2749838.3"
"2022-10-16 00:00:00","41","0"
"2022-10-16 00:00:00","30","2824541.12"
"2022-10-16 00:00:00","96","84603.22"
"2022-10-16 00:00:00","66","0"
"2022-10-16 00:00:00","37","3646532.79"
"2022-10-16 00:00:00","7","5237989.71"
"2022-10-16 00:00:00","36","1937315.79"
"2022-10-16 00:00:00","39","6605689.62"
"2022-10-16 00:00:00","18","427626.78"
"2022-10-16 00:00:00","12","9373450.2"
"2022-10-16 00:00:00","34","2980514.95"
"2022-10-16 00:00:00","13","4578356.79"
"2022-10-16 00:00:00","17","3298613.85"
"2022-10-16 00:00:00","32","2672807.6"
"2022-10-16 00:00:00","1","9226563.9"
"2022-10-16 00:00:00","10","4805647.19"
"2022-10-16 00:00:00","33","6184674.56"
"2022-10-16 00:00:00","3","3534449.83"
