CLND_DT,LOC_ID,SALE_AMT
25-SEP-22,2,7056545.69
25-SEP-22,33,5539779.59
25-SEP-22,37,3494767.58
25-SEP-22,1,8231371.5
25-SEP-22,17,2884889.3
25-SEP-22,34,3294125.43
25-SEP-22,31,3423516.05
25-SEP-22,14,2603204.82
25-SEP-22,39,5881221.68
25-SEP-22,16,10206404.51
25-SEP-22,3,3490671.54
25-SEP-22,18,399305.92
25-SEP-22,12,8242977.25
25-SEP-22,10,5110182.86
25-SEP-22,6,3961958.49
25-SEP-22,41,0
25-SEP-22,96,82987.17
25-SEP-22,30,3073564.59
25-SEP-22,13,4412127
25-SEP-22,66,0
25-SEP-22,32,2673642.61
25-SEP-22,9,4083745.1
25-SEP-22,36,2132939.4
25-SEP-22,7,5089116.83
