CLND_DT,LOC_ID,SALE_AMT
22-SEP-22,6,1464330.67
22-SEP-22,32,1047189.48
22-SEP-22,41,0
22-SEP-22,7,2231197.7
22-SEP-22,9,2349369.3
22-SEP-22,18,200029.41
22-SEP-22,30,1368621.34
22-SEP-22,33,2013394.37
22-SEP-22,39,2344995.04
22-SEP-22,34,2073583.24
22-SEP-22,36,819798.6
22-SEP-22,14,902671.96
22-SEP-22,1,2890736.96
22-SEP-22,10,2116775.58
22-SEP-22,12,3792434.96
22-SEP-22,37,1547500.12
22-SEP-22,16,3636334.42
22-SEP-22,31,1630831.54
22-SEP-22,17,1628746.7
22-SEP-22,3,1856352.5
22-SEP-22,13,2029151.09
22-SEP-22,66,0
22-SEP-22,96,69094.82
22-SEP-22,2,3257652.83
