CLND_DT,LOC_ID,SALE_AMT
02-10月-22,18,372114.68
02-10月-22,9,4264272.58
02-10月-22,41,0
02-10月-22,31,3283336.19
02-10月-22,32,2719099.29
02-10月-22,7,5815283.5
02-10月-22,96,78542.12
02-10月-22,66,0
02-10月-22,16,9146578.71
02-10月-22,2,6320372.83
02-10月-22,33,4875656.66
02-10月-22,10,4899456.4
02-10月-22,13,4406823.66
02-10月-22,30,2610168.03
02-10月-22,39,5189318.77
02-10月-22,3,3606530.36
02-10月-22,14,2521360.04
02-10月-22,17,3154763.2
02-10月-22,6,3788296.88
02-10月-22,37,3688812.56
02-10月-22,12,7847950.16
02-10月-22,1,6685984.36
02-10月-22,36,2129366.98
02-10月-22,34,3410585.62
