CLND_DT,LOC_ID,SALE_AMT
21-SEP-22,33,2449822.52
21-SEP-22,30,1404081.96
21-SEP-22,66,0
21-SEP-22,36,879079.12
21-SEP-22,18,187930.41
21-SEP-22,10,2021102.65
21-SEP-22,31,1707610.76
21-SEP-22,12,3656690.72
21-SEP-22,3,1913028.47
21-SEP-22,32,1188813.69
21-SEP-22,7,2753180.12
21-SEP-22,6,1637121.97
21-SEP-22,39,2404045.13
21-SEP-22,9,2495242.01
21-SEP-22,2,2964053.17
21-SEP-22,41,0
21-SEP-22,16,3794068.08
21-SEP-22,1,3073210.19
21-SEP-22,14,1027435.65
21-SEP-22,34,1891885.35
21-SEP-22,96,62643.16
21-SEP-22,13,2205789.24
21-SEP-22,37,1620846.04
21-SEP-22,17,1740434.75
