CLND_DT,LOC_ID,SALE_AMT
29-9月-22,1,3399609.98
29-9月-22,18,193710.9
29-9月-22,37,1879289.82
29-9月-22,6,1979540.16
29-9月-22,7,3060525.62
29-9月-22,39,2781782.37
29-9月-22,12,4184633.98
29-9月-22,36,1082137.77
29-9月-22,13,2383984.37
29-9月-22,96,66005.93
29-9月-22,34,2271157.36
29-9月-22,10,2369738.53
29-9月-22,17,1792338.25
29-9月-22,32,1244088.63
29-9月-22,33,2571214.7
29-9月-22,9,2651460.58
29-9月-22,16,4668309.13
29-9月-22,31,1890225.76
29-9月-22,41,0
29-9月-22,14,1250602.63
29-9月-22,2,3546320.31
29-9月-22,3,2121798.36
29-9月-22,66,0
29-9月-22,30,1593536.2
