CLND_DT,LOC_ID,SALE_AMT
26-SEP-22,31,1904267.7
26-SEP-22,7,2794785.65
26-SEP-22,1,3228195.65
26-SEP-22,66,0
26-SEP-22,37,1618904.67
26-SEP-22,14,1024899.9
26-SEP-22,3,2052180.67
26-SEP-22,41,0
26-SEP-22,13,2189324.77
26-SEP-22,36,1028539.87
26-SEP-22,32,1093861.1
26-SEP-22,16,4026320.53
26-SEP-22,30,1676495.3
26-SEP-22,10,2446163.29
26-SEP-22,2,3899928.24
26-SEP-22,12,4137968.93
26-SEP-22,18,209271.99
26-SEP-22,34,2233154.1
26-SEP-22,17,1734983.27
26-SEP-22,6,1649561.01
26-SEP-22,39,2619661.21
26-SEP-22,9,2643500.1
26-SEP-22,96,68977.57
26-SEP-22,33,2795683.19
