CLND_DT,LOC_ID,SALE_AMT
27-9月-22,10,2654973.3
27-9月-22,36,1054951.67
27-9月-22,18,215856.22
27-9月-22,1,3498666.69
27-9月-22,2,3540233.51
27-9月-22,12,4402386.88
27-9月-22,16,5242347.15
27-9月-22,34,2491728.55
27-9月-22,14,1108472.35
27-9月-22,30,2126264.45
27-9月-22,39,2579047.6
27-9月-22,3,2197380.24
27-9月-22,31,2399700.79
27-9月-22,33,3130060.77
27-9月-22,9,3136229.74
27-9月-22,37,1799319.21
27-9月-22,41,0
27-9月-22,13,2448760.29
27-9月-22,6,1839424.86
27-9月-22,66,1008594.29
27-9月-22,96,72475.93
27-9月-22,32,1216328.21
27-9月-22,17,1639405.2
27-9月-22,7,3191650.11
